Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
217,96,3,247,6,2,4,1,0,0,0,1,2,1,3,1,6,1,374,0,3,377,0
218,124,5,553,12,3,0,1,3,0,1,1,1,10,16,8,2,7,747,0,18,765,0
219,119,4,275,7,0,1,0,1,2,0,0,0,1,3,4,10,7,434,0,6,440,0
220,22,3,493,7,0,0,0,0,1,2,0,0,0,2,1,2,0,533,0,3,536,0
221,170,4,122,4,4,1,0,2,0,0,2,0,0,3,1,4,10,327,0,4,331,0
222,131,6,197,12,1,2,1,2,0,2,1,4,1,4,3,10,7,384,0,5,389,0
223,131,4,177,6,3,4,2,2,1,0,0,1,4,1,4,6,5,351,0,1,352,0
224,162,8,387,28,0,0,0,3,2,1,0,1,3,3,3,4,7,612,0,12,624,0
225,219,8,318,6,1,0,0,0,0,1,1,3,1,1,6,9,10,584,0,4,588,0
226,129,6,211,0,2,0,1,2,0,1,2,1,0,2,1,3,3,364,0,3,367,0
227,78,9,383,3,3,1,1,23,0,3,0,1,0,3,1,4,3,516,0,6,522,0
228,93,8,446,10,8,0,2,3,4,1,1,0,6,6,4,5,16,613,0,17,630,0
229,281,27,418,18,1,1,0,3,1,1,0,4,1,12,0,6,7,781,0,12,793,0
230,59,1,355,8,0,0,0,0,0,0,0,0,0,3,2,2,0,430,0,3,433,0
231,139,10,529,9,0,1,0,1,1,1,1,1,1,1,1,7,5,708,0,9,717,0
